,A,B,C,D,E,F,G,H,I,J,K,L,M,N,Ã‘,O,NoMeasure
dia_ocurrencia,0.0026523732555014945,0.002230120557557891,0.0022085800737150496,0.0022770983237712095,0.0023684874908660447,0.002137943123016184,0.002425976176511191,0.00219133093361612,0.0002579324893259294,0.00045321249002272523,0.0020119107329248376,0.0021544321588757853,0.0022691323996835155,0.0021868171171164352,0.0022112820448980663,0.0021667714059060428,0.00036238091862084154
mes_ocurrencia,0.00320284943605742,0.0033662197568735674,0.0035769269800143277,0.003657430861036204,0.0036891101321294695,0.0037643538959476475,0.003580911508794249,0.00357787753728811,0.0016855108705773336,0.0020433850894407968,0.0034997787467513364,0.003673528909598822,0.003633986834685299,0.0033599257236780478,0.0035749791734076553,0.0035131484375330313,0.0014505820463113217
anio_ocurrencia,0.007697027678638113,0.009052750677251975,0.008425334592520262,0.008548079708400214,0.008319426623854764,0.009785273258547722,0.00946457490196917,0.008483820235441253,0.005794986495318177,0.005963878441714199,0.008258838158961224,0.008246702631703906,0.008205875530264084,0.00796000952657061,0.008228898616749025,0.008322839618290612,0.005842898223638038
dep_municipio_ocurrencia,0.03390410894928264,0.022532749436120048,0.06943600193975219,0.004213218897743731,0.00231529492869309,0.011135726075205299,0.00805137033811798,0.0020960594013081923,0.17258362906771807,0.15765485389126788,0.015779727749590022,0.002719418666480844,0.0034098001206045447,0.01243327544885886,0.0007110158224843399,0.0018537716025249784,0.1758486144267617
tipo_agresion,0.027098729613897365,0.030524761052444283,0.029815314721564734,0.03136839677703196,0.0316414171409346,0.031648371192862235,0.03123434433504313,0.03158984181829516,0.026190439912812558,0.023882313592238802,0.031233262662130112,0.03168732316879297,0.031602211372646294,0.031031558367406453,0.0315658176239364,0.03172411005229303,0.02588150180207882
dia_registro,0.0008239119083304214,0.0025819381804335073,0.0022935279991034285,0.0023682774280767704,0.0024555173280140785,0.002276017578875633,0.0024304677480605497,0.002488129420822993,0.0005163632668727658,0.0005053534024197504,0.0023403868847408082,0.00242398346831052,0.002368859065050466,0.0025779539468615553,0.002433198356831645,0.002402608733441003,0.0002313837567713417
mes_registro,0.005554332240661708,0.006058416542362277,0.005815946492770729,0.005923775599371628,0.005941189381707956,0.006028438080434961,0.00614717582574531,0.006046177334977032,0.0035614885593249213,0.004143330092366337,0.005816607693810538,0.005967910525120135,0.006058419205332344,0.005828478305578866,0.005957696008036417,0.0060272556707910985,0.003314765227057981
dep_municipio_registro,0.03865504959089172,0.024632229768777103,0.07510518883310557,0.005019870263672455,0.002643123425312699,0.012107747832200255,0.009396493874365475,0.0023658353718010172,0.2091845463512323,0.19198554397840595,0.018150703657677347,0.0028614781310373205,0.00391178206588394,0.01398007049225003,0.0008279198120908493,0.002305600478573866,0.21304366416990828
quien_reporta,0.06648512489065572,0.07732866951116024,0.07326881347047709,0.0796282430745231,0.07952771751107224,0.07859662502556297,0.07877613676231598,0.07980554063071743,0.04022673381314501,0.039980829998359724,0.07820820545135576,0.07953619929729572,0.07965140880096322,0.07723451359927147,0.07985795183174893,0.07969882970915287,0.04016161443894051
sexo_victima,0.05129262052519934,0.058040238968563806,0.055968664665807744,0.05991987655783226,0.06005386943321267,0.05974533641819024,0.059988052456010466,0.06013647237171971,0.027389776361641083,0.02824642611206185,0.05946951373340703,0.06014034690620007,0.06016804538400522,0.05949133487513436,0.06028760758841589,0.060170720413447065,0.027686033757418738
edad_victima,0.0063724283516548574,0.0023789038594210776,0.0015999190710012101,0.0017743430921889347,0.0018226833609892301,0.0023432123965709817,0.0023121853078691412,0.0017439114215603846,0.006544041503439235,0.005399338285637212,0.002377906117939421,0.0019733690171128693,0.0019701961591248596,0.0026836074651079844,0.001825103076736334,0.001720190926728149,0.006524410714646711
total_hijos_victima,0.010806265852610686,0.009259397982750883,0.010004653471356706,0.009351031866418169,0.009251231632555146,0.010059053575902865,0.009450431093364964,0.009378028129910732,0.007590876559407045,0.007446431100295525,0.010106550270944759,0.009373502915991039,0.009267356233415569,0.009620519905898406,0.009276721866832593,0.00915613137449589,0.007971427699339673
hijos_hombres_victima,0.00914583929616608,0.008857893825347851,0.00937782057199077,0.008648550723596382,0.008747539381384284,0.009345090712811532,0.008914049593254036,0.008635537701638052,0.00565229579412474,0.005818273331401835,0.009241319600334696,0.008680284962446772,0.008756180117879597,0.008624185220292957,0.008694958643213901,0.008757194831475967,0.0063104327390184345
hijas_mujeres_victima,0.008877971552983865,0.008675589343876577,0.009665400647019595,0.008922308738997131,0.00891635906949284,0.00925621715679048,0.009043155651576873,0.008861802528452922,0.0054619981496975,0.0049175848458249405,0.009357820742585954,0.008957477725132779,0.00911626427290202,0.009284758738482557,0.00891065772327071,0.008919206686355263,0.005661393379581936
alfabeta_victima,0.04438126763744199,0.04931578002467474,0.047117894928284,0.05053851221386463,0.05063645784887849,0.04979443580621801,0.04990734998214963,0.05078506391822324,0.025477358795430893,0.026563369227735834,0.049712501560803646,0.05051272112934768,0.05078705936116945,0.04918268739233467,0.050788866532505694,0.050769001802479785,0.02617782295814486
escolaridad_victima,0.006161019533044376,0.0071467450754001405,0.006882147813780826,0.0058742094390394906,0.005853224801920409,0.0058311795270856726,0.0061660863880144134,0.005725632921528279,0.008284247384488186,0.007913918913402318,0.005678853177848109,0.0058377821919900486,0.005918932249722286,0.005511304012838392,0.005754234222924093,0.005815790479048677,0.00792212361384026
estado_civil_victima,0.0188173075233522,0.018811538957375307,0.01857193060569018,0.01888986156247685,0.018841595008030065,0.019056362935470084,0.018979820257537194,0.018920720760125742,0.014587965687534066,0.014219028113388266,0.01901021049382623,0.018846692738523796,0.019081921831800353,0.019115600874549887,0.018821531558381843,0.018860551847436513,0.01487517039460795
pueblo_victima,0.021914780664026745,0.025811714027276222,0.02469200326379606,0.025961770730361988,0.025588589402709472,0.0253860217223284,0.025619625415016722,0.025644824613245687,0.02311551461175121,0.021671072159442417,0.02588704906127648,0.0256530711048244,0.025533955899273875,0.025046181935225453,0.02562037008009488,0.02571007606712794,0.022410044692753983
nacionalidad_victima,0.052992065778335595,0.059910685164789146,0.057305049065738745,0.062043618924691124,0.062141225728477245,0.06103700154345648,0.06125064132465052,0.06197139367139426,0.02955693546343041,0.029950827181708384,0.06067496906470049,0.06219628164443136,0.0621245527159513,0.060266912963638286,0.062246817525574705,0.062205747967248426,0.030090566130595464
trabaja_victima,0.037140688044803305,0.043272150123558895,0.04111694147694256,0.04406406838103982,0.04408633629186798,0.04319661867701863,0.04351687640450119,0.04415595976754827,0.023168820816942715,0.024022703998468398,0.043181886563563365,0.044212038162047884,0.044099222791300186,0.043090985476883725,0.0442565963092042,0.04409301023514234,0.02339222264691343
ocupacion_victima,0.0017096132181171342,0.002123411518708096,0.0014945695367662992,0.0008431468132458209,0.0007817332762336537,0.0009165911786112035,0.001040276871903889,0.0009266647771181136,0.0032315627359551513,0.002988276599015016,0.0018214976044175213,0.0009192276231618779,0.001175340931293234,0.0016775895199763191,0.0008695086898448112,0.0009140712327102563,0.0037932651230876413
dedica_victima,0.022417502241688814,0.025101072392314072,0.024468807430419126,0.025499767180847344,0.02558156820308677,0.025372350441149605,0.025291005074390194,0.025782812005687328,0.01334445350548319,0.01375692342804058,0.025248307054640984,0.025797944129554606,0.02570658475493448,0.02546863369030239,0.02574572844349665,0.025598788192248256,0.013405490945726406
discapacidad_victima,0.05133580973314911,0.05856020056821443,0.05578783127595943,0.060114806654977704,0.06028160348175482,0.05949932683896508,0.059589838762817315,0.06018749182511163,0.03124697538852983,0.03125207743762859,0.05906003975638918,0.060144309326234824,0.06007485556398806,0.05854267061409768,0.060387737805607355,0.0603157906631171,0.03104832337121577
tipo_discapacidad_victima,0.043337408983340486,0.04919550886830981,0.047784305289826134,0.05125899834884051,0.05127969070058591,0.05056743177562495,0.05080951728368155,0.05140473468732265,0.023776323964866064,0.02343299564319845,0.05010689639568877,0.051293957206799856,0.0513092298494201,0.04978930663343217,0.051485043567224276,0.05136442455944623,0.024307712614022314
relacion_victima_agresor,0.019494375776261785,0.010355719687381804,0.01108846273585895,0.009938609404102516,0.010022798692024493,0.011343307648780332,0.01071702143908726,0.010041205895235605,0.011303023964051473,0.01089695179208272,0.012486094525459124,0.010000901908637672,0.01037855896084261,0.012651353548970179,0.009970752179286224,0.010003862784074058,0.011082431602005949
otras_victimas_total,0.028586489150266514,0.03230072122870109,0.03229978526320676,0.03347501637670691,0.03341293981455773,0.033387734218478626,0.03333585549403195,0.03351892063909312,0.02880772936348519,0.02761017505182317,0.03286939490486729,0.03346517091680945,0.03348560829301361,0.032669123465634886,0.03350101217978785,0.03345552753480374,0.029693320579905036
otras_victimas_hombres,0.02788459548373301,0.03239294814994986,0.03238996862315213,0.03368809430875075,0.03355693025155271,0.03312090221850772,0.0334439313924918,0.03364206706919637,0.02724747122892346,0.0249324788574401,0.03288171734785228,0.03366449770771229,0.03361260908315067,0.032643665778604336,0.03374846239932616,0.03377951140616631,0.028076244341075363
otras_victimas_mujeres,0.027429505839001722,0.031658784644625015,0.030969451719816243,0.032791195079389546,0.03278208469052535,0.032498081135602486,0.03230768953309515,0.03294172352517177,0.025744399476164137,0.024656655616150047,0.032071056953834054,0.032710013349512845,0.03280461464817486,0.03216340675055196,0.03291334052541417,0.032818235275642316,0.026438950210061263
otras_victimas_ninos,0.028272140371577992,0.032477266334114296,0.0319268250381981,0.03397739605817007,0.033834763367244336,0.03359252791185208,0.03375725440758148,0.03392701976715429,0.030024273079316988,0.02760186052509961,0.03322942621175373,0.03389017856762411,0.03386700591043612,0.03257690456550466,0.03400079591670979,0.03388621358424404,0.03055722731967636
otras_victimas_ninas,0.027948837447269392,0.031803052235005125,0.031008361744174318,0.0330523530203074,0.032941322179531496,0.03283830671430521,0.03294896227108979,0.033272610766366784,0.03048228916451312,0.027981071804914714,0.03269623079388384,0.03309698468308897,0.03314938969200232,0.03198324424218968,0.03314003032094581,0.033153942399105296,0.031031265412511333
area_ocurrencia,0.025398165395159156,0.03124344825878178,0.029010583538968238,0.030174646834276064,0.030171934658016597,0.02969585002020536,0.0300828542735867,0.0302385121029507,0.015830028336009994,0.015350267660328099,0.029535024219862316,0.030297454925760636,0.030152054254267147,0.029267158428819218,0.030265845460899943,0.03025166485503883,0.01567621223938742
reiteracion_denuncia,0.04195366081926677,0.04864273417470755,0.045970464287864,0.049776069509831156,0.049636697665720875,0.04888109199734203,0.04918273352029823,0.04966549774565332,0.025039438506252676,0.02418335305468422,0.04863468353984357,0.04980756612503645,0.04983964152419218,0.04828621189967086,0.04986623174467486,0.049745286967248226,0.02490709525182555
institucion_denuncia_previa,0.017618527468400647,0.02094168861212531,0.020038156912630223,0.021243490831530654,0.021306388274759502,0.020965644927630755,0.021165148019008595,0.02121975827900313,0.01084293167011352,0.010171725599271708,0.020573807531597654,0.021275173939448444,0.021246556336389055,0.020595177713035207,0.021228079525826837,0.021221947019350207,0.010551195397457303
sexo_agresor,0.0474138504775361,0.05000057820423853,0.0480416504535397,0.05141098812115241,0.05157392462787569,0.05107218038648409,0.051449967118284756,0.05161834426295475,0.02361713678021027,0.024672148050618903,0.05177441718520981,0.05157533262146585,0.051656518315662536,0.05035917187404215,0.05164083042345846,0.05160991590563835,0.023714197244673496
edad_agresor,0.0038491486673846165,0.0026208905474423005,0.0028102083807046707,0.0024521460280920726,0.0024554001984444795,0.002523926306452373,0.0024726653719814307,0.002546350113960205,0.005831860865699534,0.0055076720717357475,0.0030644790978182623,0.0026677467812995515,0.002532746555365617,0.0025537008004139494,0.0024510656814851206,0.0024522687473407245,0.006381280359490038
alfabeta_agresor,0.033347236329641206,0.03905709142747149,0.03806878818297932,0.04028274544263988,0.0401566456156347,0.039701707499811834,0.03973233452744085,0.040139781271949726,0.021489337224212424,0.021744255317866834,0.03939130771813559,0.040213171252328817,0.040198593243080616,0.03931628176852897,0.04033729581859402,0.04023488217549409,0.021161112657780867
escolaridad_agresor,0.00562165448625529,0.007079455126304257,0.007623053598426077,0.00648392500919448,0.006435799318660007,0.006470927354293776,0.006707361418367808,0.006399440830866854,0.006350598005033792,0.0054730096732680256,0.006231141036920684,0.006489071666143764,0.006479598095700978,0.006458148356244031,0.006375369661677732,0.006259358945299942,0.006266252812148654
estado_civil_agresor,0.0176826054780701,0.019336310777149812,0.018578701551733134,0.01913531303929905,0.018861533916486484,0.01902729957252114,0.019285423860549322,0.018987747538572353,0.017879209778869365,0.01626768005110879,0.019319085967766658,0.018965852191265564,0.019229397910292323,0.019685345386642794,0.01896783779173805,0.01901113058337478,0.017841854425766357
AGR_GURPET,0.02376478005250382,0.0259196924288444,0.025191308768333753,0.026596206239805964,0.026115665470789695,0.025644243003209777,0.02568223804888814,0.02633902861156978,0.023899022564181305,0.022978494378486092,0.026329916602065184,0.02631272401224727,0.02612538819925847,0.025685911730017663,0.026230143493406577,0.026146040164784057,0.023554038286075496
nacionalidad_agresor,0.042271498233724225,0.049410525069821576,0.04764411680743552,0.051151960920194695,0.05120090788209908,0.05032319708580779,0.05069046843301217,0.051273063590855816,0.025833979036888888,0.02532418634364131,0.05024682042424755,0.05109629226405288,0.05107859860115327,0.049542655533705626,0.05130683999062047,0.05116410934227833,0.025863329010814562
trabaja_agresor,0.03216671410667726,0.03472356696378909,0.03457505507863101,0.03563125625456931,0.03566523928674403,0.03573118678106413,0.035579152981292106,0.03570610354416237,0.020391010153270495,0.020724595631950837,0.03575224214592798,0.035709017209018534,0.03571465806930396,0.0349139036080236,0.03573628242771254,0.03575219477913849,0.020370227708637723
ocupacion_agresor,0.00798908579153279,0.006783992736606903,0.006709476613451448,0.005276436048628597,0.00513870053976806,0.005478604323931435,0.005562608051787876,0.005059720274889323,0.013118359223053266,0.014609104180328014,0.006749388748860219,0.0051095458580868724,0.0051677825989857595,0.00586940671740277,0.004984024774707718,0.00510512436263999,0.014133581629652614
dedica_agresor,0.017748465908154598,0.017068172677048077,0.01676730068493959,0.017235538932204975,0.017145538865484644,0.01758387142679685,0.017341793477181233,0.01720169202950006,0.01170910541033221,0.011871944122356926,0.017924929074927598,0.01701907282049553,0.017198331538583855,0.017092847523492716,0.017161078120658813,0.017103695211342806,0.011735087636309371
otros_agresores_total,0.04381711937019661,0.050319993236837224,0.05040596955430754,0.052352680862188694,0.05227902691276931,0.05150727337631056,0.05174428159514366,0.05250801798661464,0.03416709196388168,0.032368820834667744,0.0513105922253172,0.052363012234092676,0.052449341325178755,0.05102994819528883,0.052591403004612514,0.05242794606366297,0.034808792269031
otros_agresores_hombres,0.044197758167835666,0.05154966105667402,0.051186466681120146,0.05322780820979911,0.05319553724340398,0.05253677828903103,0.05272962439414608,0.05326017269357608,0.03503528931103239,0.034059642593849304,0.0520741872210263,0.05321814768226729,0.05325034395760753,0.05200937397019678,0.05336096040647598,0.053283277587030886,0.03609888719929932
otros_agresores_mujeres,0.04546599303285204,0.05146133779611628,0.05118934756995164,0.05305508102624634,0.053082451866937386,0.0524006496472702,0.05229482747614744,0.05313080694206196,0.03273482282426432,0.031745561891113105,0.05196101668476105,0.053141017218966025,0.05305144421712571,0.05133108366753458,0.053196410502243774,0.053144883746131244,0.03320615015043482
otros_agresores_ninos,0.044198111567814946,0.05129794993545256,0.05045167058687472,0.05279035036746971,0.05288016614930602,0.051871716981973126,0.05227226995295664,0.05283585436100313,0.03215541993188786,0.03195913717460663,0.05191207617932059,0.05293888596626117,0.05277087482066678,0.051239403805999006,0.05299633593637776,0.05289180238122537,0.03346803557388944
otros_agresores_ninas,0.044815205530900126,0.051410799400910534,0.05114427843384006,0.05352876606368784,0.05357769075697705,0.05274213721977428,0.05289794092976852,0.053710902773275504,0.03131202586564075,0.03078335116222264,0.052229455438866146,0.053563411840634956,0.05355636730421787,0.05215845579317291,0.05376231709802903,0.05367982141818717,0.032561554316276276
institucion_registro,0.08677037170232205,0.046898295053026895,0.05844885628910701,0.03876548226372223,0.038686539348964266,0.04205756972555563,0.04112032359352624,0.038521524183347755,0.5495968146347419,0.49657755738703235,0.043820873753363854,0.0387386176439517,0.038650083963382875,0.04548149769394505,0.037941623341772424,0.038318057449640563,0.5783667383943099
ley_aplicable,0.08228433504762189,0.032443502204160035,0.046881670475064974,0.022117680923866123,0.022084744181703697,0.026329306889360526,0.025158127208756098,0.021708156600921624,0.5936432607204449,0.5342244040907922,0.028237551119484117,0.02200095257027146,0.021872286255846807,0.03065619630541816,0.020988474334654228,0.021593744587920294,0.6305185069669677
medidas_seguridad,0.08369243050750574,0.03694304841998164,0.05046584514982966,0.027359500876952825,0.027103200800905558,0.03148375745931764,0.03040128441916301,0.026841778196894595,0.5983706814391121,0.5363733046663115,0.033379128175234585,0.02713736096520203,0.027043512863351826,0.03513427590560858,0.026157476548404057,0.026697217890302993,0.6341878018504389
organismo_jurisdiccional,0.029026625987909727,0.015638394903935482,0.016999316188825553,0.008244062114105666,0.007889193336371503,0.007640257168858744,0.00925675100647716,0.007550230826523285,0.28635467920324476,0.2508245672534135,0.01019299384261585,0.008787582564626528,0.00882640691206349,0.01010574396076036,0.007699692389166568,0.007903393999494468,0.3039524577046093
conducente,0.046118149173616674,0.030008691774012886,0.03266352197355071,0.02588100153780759,0.025346846243324728,0.024830161326000022,0.025245499405675664,0.025062815260966764,0.30399297223113964,0.2644014556615799,0.0277693010512855,0.025899423593690907,0.02575382873017862,0.02730751123328823,0.025167930198874644,0.02549610614942721,0.3231433497667684
ARTICULOVCM1,0.011870415800943723,0.0015470237524868313,0.006763885212388576,0.0010563879897527162,0.0008641856534339354,0.0010089030778959174,0.0009028849086970547,0.0009429141044225986,0.07424888079688374,0.07232864362784541,0.0028718349950487276,0.001072101751528498,0.0012519159204719132,0.0021566379679305303,0.0008435162762646664,0.0011353302063726867,0.0790348591191028
ARTICULOVCM2,0.011680191571664222,0.0012068387354502441,0.005042127340911584,0.0009596641274233209,0.0008286256424091532,0.0014218565778896242,0.0012181904762667006,0.0008777463568256927,0.07401868068503537,0.0725603791550522,0.0031930609595389736,0.0009209403778840386,0.001129976338232086,0.002036237718014311,0.0007930858710225586,0.0012241102506939106,0.07836094758049539
ARTICULOVCM3,0.012683408464706725,0.0008863096905011858,0.00445667039455655,0.001051249816663935,0.0008462673741247428,0.0010675276948588497,0.0009339078687155,0.0008249430592329743,0.07551924827141554,0.07361540077752626,0.0025110204395895064,0.0012056780570970371,0.0012810384884663906,0.0024002904598607877,0.0007995012957191516,0.0009961546372397878,0.0807972385535447
ARTICULOVCM4,0.012337248652027455,0.0012910733750357561,0.005031123104702884,0.0009250418701212126,0.000816468651322233,0.0008765692286476501,0.0010934459044171785,0.0007575453449862879,0.07301403825677433,0.07120158624481654,0.0019964659873588086,0.00104560762877548,0.0010856607001614726,0.0020302163365577552,0.0008472303846951412,0.0010881378460876334,0.07793910841939389
ARTICULOCODPEN1,0.0014791579245443387,0.0012363828018582268,0.0010660002293814141,0.0007588145010866132,0.0008046836779875832,0.0009003044087777523,0.0009767623393478475,0.0007801474644720807,0.0057602950070916314,0.004380699805275778,0.0008429358215060745,0.0008664229549046887,0.0008541426989248091,0.0009498808220627097,0.0008061984489675655,0.0008253881718830458,0.005897310666023392
ARTICULOCODPEN2,0.0009404671049344504,0.0006309493739418137,0.0009132382642029757,0.0007793349669764638,0.0009291890922221713,0.0009495784278249486,0.0009725213708579039,0.0007998785529642616,0.006390003097201058,0.00533450086464482,0.0009391174458075469,0.0008794683746596865,0.0008980548769774721,0.0010393460802649024,0.0008111036393015914,0.0007459709069257414,0.006449317275025068
ARTICULOCODPEN3,0.0019006670288188587,0.0004062536890379054,0.0006514390366878509,0.0007190088639267289,0.0006694314157975612,0.0006888569004668277,0.0008020814116189712,0.0007780604870366581,0.007680140764801502,0.00575032843074319,0.0009294448756976825,0.0008000326730663865,0.0007346107641373889,0.0012464541639096716,0.0007638299686060224,0.0007715060018637088,0.007640183357573438
ARTICULOCODPEN4,0.0016942808888134042,0.0010498450002192072,0.00145373931948245,0.001013863484037536,0.0009972215095745973,0.0009106570050508855,0.000779901180362863,0.0009217237478790219,0.005928568179322413,0.005205104076983602,0.0008672920631529468,0.0009346420057152471,0.0010173629995213762,0.0008917609503849011,0.0008693004109738833,0.001009062782533321,0.005754161616233322
ARTICULOTRAS1,0.0019311671512542983,0.000795319215598056,0.0017268676914177217,0.0008634895079042693,0.0008653267682181554,0.0010380014734071574,0.0010645906219945989,0.0008644312827857936,0.004411597956565982,0.00497231356715,0.0009869644905221575,0.0008176582863340665,0.0008004803381749248,0.000991802322971136,0.0008546429872071659,0.0008597014312325957,0.004493526890443578
ARTICULOTRAS2,0.0015162335295473284,0.0010325376716511236,0.0009868136106643277,0.0007828319512597215,0.0008537735988578543,0.0007688880478196047,0.0009034686222783028,0.0009915008924543667,0.006375483839403007,0.00658447728739775,0.000969056559021908,0.000855559794439853,0.00089945198805641,0.0013343184904104355,0.0008709058618781018,0.0008754816118462516,0.006384994190486326
ARTICULOTRAS3,0.0009101901515233823,0.0009748554823967304,0.0009889601392729652,0.0008056720730038602,0.0008106646243871696,0.0008342712651662199,0.0009157005470198376,0.0007548167902250436,0.004380916977932525,0.004441965023424643,0.0006272072528717976,0.0008708816033241584,0.0008164961569535611,0.0008851529626514587,0.000758609730479809,0.000758116963440636,0.004720169815870978
ARTICULOTRAS4,0.0011927828298248233,0.0007991036214376468,0.000987734089528347,0.0006613927360925587,0.000743998117016309,0.0007991917801293269,0.0010780224296463858,0.0008197754053937967,0.003153182121443665,0.004014864762547976,0.0006802212581303868,0.0006986568583599029,0.0006336841529539505,0.0008101442030790107,0.0007011429833950755,0.0006809182112625933,0.003528784145329089
organismo_remite,0.026436960306517987,0.010981989885498145,0.01476651462673817,0.006195880008210586,0.005662990234619358,0.005477008930662275,0.005816553454121909,0.00537318110269791,0.28775661107883077,0.24959204467795404,0.008013919058700969,0.006167821175296684,0.005940560052361321,0.007962577988737563,0.005481279196889677,0.005648176623005097,0.30629471901689764
numero_boleta,0.005862571111372672,0.0034539307688206122,0.0054608215329623455,0.0008796943090425557,0.00032913313652094267,0.0010416070777702346,0.0026884733734879873,0.0002526483884278674,0.02975588994617273,0.02747604711063656,0.004594578933565185,0.0003833410368114798,0.000925965455051081,0.0017859025458770716,6.806555392691038e-05,0.0012373904045888118,0.03011513862628501
departamento_registro,0.019993601455673637,0.022849348917001633,0.022214044865400906,0.021884291265834133,0.02116306078348429,0.020786372160699673,0.021327475087312586,0.021354854771524212,0.021116094749807912,0.01830426927550244,0.021861435362557025,0.02117993059856449,0.021006503680552124,0.021388888989415267,0.02107765902961012,0.02128933842112446,0.02051510602751838
